feature_id,missing_n,mean_expression,sd_expression
AGR2,0,6.063415834675859,0.19060057555680432
AGR3,0,6.102289997020687,0.10191904297934147
AGRN,0,6.815212037358622,0.26413277095773624
AGRP,0,6.055734332627587,0.1350701366924238
AGT,0,9.036667602317237,0.3197806346358882
AGTPBP1,0,7.969684867075858,0.29812004562592015
AGTR1,0,6.3716879909862065,0.23921353830634334
AGTR2,0,6.351714720165516,0.1976331491188619
AGTRAP,0,6.910106404475864,0.29144860849100185
AGXT,0,6.114346877641377,0.1491218465261182
AGXT2,0,6.003892131841378,0.12006573072545038
AGXT2L1,0,6.853457710462069,0.7742613189769554
AGXT2L2,0,7.212974523386207,0.14565232091593378
AHCTF1,0,7.4876089152,0.15157261103432423
AHCY,0,9.379270015537934,0.2732285726513223
AHCYL1,0,9.654900228586206,0.319912863527923
AHCYL2,0,6.68587354762069,0.16649754718637544
AHDC1,0,6.760935881482763,0.21399463806852034
AHI1,0,7.895209151951724,0.22856566793621774
AHNAK,0,10.214347434027578,0.2446131498720302
AHR,0,10.485859611565521,0.3265575342226126
AHRR,0,6.028576253310344,0.15523872854340318
AHSA1,0,9.33942049363448,0.36218239317349094
AHSA2,0,7.338722103786208,0.5251447561010771
AHSG,0,6.366984630903453,0.22449323034473168
AICDA,0,6.076365125124138,0.16491777042057673
AIF1,0,7.328221558965518,0.4622822595162116
AIFM1,0,9.325419639758621,0.32263341942644697
AIFM2,0,6.673172288820691,0.20081054510666757
AIFM3,0,6.052761144489653,0.2065832781313954
AIG1,0,8.515631386103449,0.4331408186322093
AIM1,0,6.447588900572412,0.18976949428289813
AIM1L,0,5.9971596979655155,0.08146885979970814
AIM2,0,6.103733940289653,0.0977434065470476
AIP,0,8.779561318337935,0.2716556973924811
AIPL1,0,6.198811836772415,0.09835089421050229
AIRE,0,10.945435795724137,0.3725287031232304
AJAP1,0,6.19047338824138,0.10260481979515959
AK1,0,10.265929119641381,0.3979562726935432
AK2,0,10.096634609737933,0.22999174443301199
AK3,0,11.43370531732414,0.34325708996192444
AK3L1,0,8.332849834262069,0.27212713017604717
AK5,0,6.015276048441379,0.09217504695908689
AK7,0,6.0237213227517294,0.1625451438320525
AKAP1,0,7.74168154733104,0.4125876073905172
AKAP10,0,6.576957429972415,0.16941180446565246
AKAP11,0,7.621474635765517,0.18819378949411927
AKAP12,0,6.658204547717241,0.2776639606728898
AKAP13,0,10.093366940055168,0.28752556941648644
AKAP14,0,5.955560923427587,0.07199729175499721
AKAP2,0,6.567316412448278,0.2259543385127169
AKAP3,0,6.614751245255174,0.17074040234901772
AKAP4,0,6.154434911268969,0.08615997202748163
AKAP5,0,5.988668569337931,0.14622557053683466
AKAP6,0,7.810797915696555,0.27697803294836115
AKAP7,0,6.971620954220689,0.2243052388380137
AKAP8,0,7.828723923055174,0.250442473520746
AKAP8L,0,7.575236384344826,0.32887860661488655
AKAP9,0,6.174485428593103,0.20494526530202556
AKIRIN1,0,8.117847536510345,0.29740230549867674
AKIRIN2,0,9.12511092037931,0.3078025552159375
AKNA,0,6.715823350303449,0.20125554398716544
AKR1A1,0,8.738479165386208,0.19926359238568353
AKR1B1,0,11.220604720903452,0.3478937402148811
AKR1B10,0,5.963756615124142,0.15130526229108965
AKR1C1,0,5.877284927903445,0.14483953393326673
AKR1C2,0,7.3362887982896545,0.3675692121877063
AKR1C3,0,9.514150261841376,0.45994571270029055
AKR1C4,0,7.664045052124135,0.4259814558116623
AKR1CL1,0,6.193584604124136,0.16184219723148768
AKR1CL2,0,6.087649236937933,0.13491095209934476
AKR1D1,0,12.118667305241383,0.2883583339924829
AKR7A2,0,10.52420790533104,0.2671654018436704
AKR7A3,0,7.761025496531032,0.22326963817663859
AKT1,0,10.1382835554,0.2243751417524977
AKT1S1,0,6.400773993351721,0.17710469127490436
AKT2,0,6.279424473268964,0.17449935497549646
AKT3,0,6.126525313082759,0.07469915575104903
AKTIP,0,9.76128783504138,0.29506420916015286
ALAD,0,7.806562635510343,0.34149186377729973
ALAS1,0,7.0369873629517254,0.1637550353306474
ALAS2,0,6.119145522682762,0.10080952520555202
ALB,0,6.05961912312414,0.08808859448403909
ALCAM,0,6.918693110434481,0.4228429518499528
ALDH16A1,0,6.6120372565310355,0.20275464667645643
ALDH18A1,0,7.343947582344824,0.2490400297287
ALDH1A1,0,7.782526549682756,0.3941791029323786
ALDH1A2,0,8.32082205012414,0.3998815798457597
ALDH1A3,0,6.813119162006895,0.6034053431824925
ALDH1B1,0,6.835211184531037,0.2876266494591449
ALDH1L1,0,8.127975155579316,0.48176239724244596
ALDH1L2,0,6.20808306748276,0.15444823314655115
ALDH2,0,10.697709660365513,0.33504697854061577
ALDH3A1,0,6.016624327227588,0.1818452112970517
ALDH3A2,0,9.28515722411724,0.26090583209152446
ALDH3B1,0,6.33846215233103,0.12445103761251969
ALDH3B2,0,6.041082309972415,0.08232777595908844
ALDH4A1,0,7.767765920289657,0.3030576598932756
ALDH5A1,0,8.407852615979309,0.5076871713854682
ALDH6A1,0,8.60051569368276,0.37513198563189293
ALDH7A1,0,9.346291562606895,0.3476732203663781
ALDH8A1,0,6.112180972206896,0.08665742558175367
ALDH9A1,0,12.009951148137935,0.26888989535321484
ALDOA,0,11.974659544482755,0.2981860127710302
ALDOB,0,6.60163843590345,0.19479358515692527
ALDOC,0,12.103286017744828,0.5122746961076394
ALG1,0,6.44240142628276,0.17695102429350132
ALG10B,0,6.1823838828344835,0.10818356352644995
ALG11,0,6.569666366413793,0.23749480552171473
ALG12,0,6.611180761696555,0.1657618640578229
ALG13,0,6.990121090151727,0.2296919266611139
ALG14,0,7.000833983179312,0.201150319418965
ALG2,0,6.231942867041382,0.10240308882191262
ALG3,0,7.147132735634482,0.29245254184938246
ALG5,0,8.33851663602069,0.2841696860635264
ALG6,0,7.15298296922069,0.2041927364683877
ALG8,0,7.540833573841381,0.15440050136476094
ALG9,0,7.721767156006896,0.32367312869142256
ALK,0,6.204676543724139,0.12242604008580732
ALKBH1,0,7.122526696331038,0.15812856055509833
ALKBH2,0,7.50149725610345,0.24652205748819853
ALKBH3,0,7.763493061096551,0.27676234398586685
ALKBH4,0,6.494489058082758,0.1630812208704845
ALKBH5,0,12.63824503834483,0.22866074611623088
ALKBH6,0,7.565971024855174,0.17220416090371632
ALKBH7,0,9.442764835544821,0.2980813741499197
